step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
105381888,60355.7,0.000221,1.378558,0.000368,-0.353516,0.0,0.1263,-4.1583,0.007012,0.00683,0.006123,0.477986,1.347873
106168320,60458.0,0.003625,1.494736,0.000372,-0.384766,0.0,0.1261,-4.1425,0.008154,0.005873,0.005248,0.415273,1.446768
106954752,60331.8,-0.002702,1.472868,0.000389,-0.375,0.0,0.127,-4.1099,0.024538,0.013326,0.009979,0.466487,1.3575
107741184,60438.7,-0.002045,1.281473,0.000371,-0.392578,0.0,0.1286,-4.0751,0.012674,0.005693,0.005513,0.445843,1.336875
108527616,60532.0,-0.005409,1.295094,0.000367,-0.384766,0.0,0.1302,-4.0429,0.008767,0.005712,0.005164,0.494436,1.294732
109314048,60324.6,-0.006919,1.389533,0.000374,-0.376953,0.0,0.1319,-4.0038,0.011181,0.006015,0.006383,0.489849,1.364513
110100480,60424.6,0.002467,1.402158,0.000374,-0.429688,0.0,0.1328,-3.976,0.011601,0.00912,0.007769,0.436153,1.434409
110886912,60535.0,0.001586,1.462272,0.000373,-0.439453,0.0,0.1341,-3.9331,0.010681,0.008509,0.008179,0.466666,1.336132
111673344,60630.7,-0.006754,1.379927,0.000393,-0.435547,0.0,0.1354,-3.8959,0.011175,0.009252,0.008968,0.468152,1.265354
112459776,60556.7,0.003449,1.375375,0.00038,-0.394531,0.0,0.1374,-3.8507,0.012917,0.010568,0.007872,0.540932,1.132121
113246208,60650.0,-0.000907,1.266551,0.000365,-0.396484,0.0,0.1402,-3.8009,0.006912,0.006143,0.006082,0.523432,1.083447
114032640,60755.5,-0.004498,1.355295,0.000366,-0.400391,0.0,0.1429,-3.7533,0.007878,0.006832,0.00583,0.431092,1.322199
114819072,60665.0,-0.008901,1.392716,0.000381,-0.386719,0.0,0.1443,-3.7247,0.00783,0.007025,0.005129,0.431229,1.270695
115605504,60755.7,0.000321,1.251863,0.000361,-0.363281,0.0,0.1416,-3.7124,0.007423,0.005505,0.005903,0.431856,1.181329
116391936,60843.3,0.000506,1.175484,0.000356,-0.359375,0.0,0.1388,-3.6991,0.00587,0.005852,0.005151,0.472776,1.199389
117178368,60924.7,-0.000465,1.227603,0.000419,-0.386719,0.0,0.1359,-3.6886,0.009358,0.009065,0.007289,0.483139,1.156903
117964800,60806.6,0.000373,1.398087,0.000375,-0.369141,0.0,0.1352,-3.6651,0.016953,0.01114,0.01076,0.423568,1.325516
118751232,60900.5,-0.004191,1.357995,0.000356,-0.369141,0.0,0.1354,-3.6466,0.008267,0.005495,0.005456,0.421546,1.188311
119537664,60982.3,0.001675,1.313039,0.000351,-0.376953,0.0,0.1354,-3.6188,0.010125,0.004279,0.005345,0.426812,1.18916
120324096,60877.0,-0.001363,1.309721,0.000387,-0.369141,0.0,0.1356,-3.5876,0.019769,0.007951,0.007808,0.475722,1.187394
121110528,60959.8,-0.00389,1.128815,0.000343,-0.400391,0.0,0.1353,-3.5671,0.007047,0.004841,0.00485,0.470515,0.974333
121896960,61040.3,-0.004418,1.227055,0.000338,-0.416016,0.0,0.1356,-3.5462,0.009155,0.005169,0.006378,0.560584,0.938698
122683392,61123.5,-0.001549,1.144129,0.000341,-0.419922,0.0,0.136,-3.5309,0.008609,0.00475,0.005776,0.435919,1.251909
